id,product_name,product_code,category,description,current_quantity,unit,minimum_stock,average_daily_usage,alert_days,critical_days,emergency_reserve,expiry_date,storage_location,primary_supplier_id,status,created_at,updated_at
1,Paracetamol 500mg,MED-PCM-500,Medicines,Paracetamol 500mg - standard quality medical stock item,444.5,units,405,45.0,7,3,135,2027-10-11,Shelf A-1,7,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
2,Ibuprofen 400mg,MED-IBU-400,Medicines,Ibuprofen 400mg - standard quality medical stock item,451.0,units,150,30.0,7,3,60,2027-06-19,Shelf A-2,13,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
3,Amoxicillin 500mg,MED-AMX-500,Medicines,Amoxicillin 500mg - standard quality medical stock item,0.0,units,125,25.0,7,3,75,,Shelf A-3,10,OUT_OF_STOCK,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
4,Metformin 500mg,MED-MET-500,Medicines,Metformin 500mg - standard quality medical stock item,353.0,units,400,40.0,7,3,80,2027-10-11,Shelf A-4,11,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
5,Atorvastatin 20mg,MED-ATO-20,Medicines,Atorvastatin 20mg - standard quality medical stock item,287.5,units,245,35.0,7,3,105,2027-10-05,Shelf A-5,2,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
6,Omeprazole 20mg,MED-OME-20,Medicines,Omeprazole 20mg - standard quality medical stock item,184.0,units,168,28.0,7,3,112,2027-05-14,Shelf A-6,9,LOW_STOCK,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
7,Amlodipine 5mg,MED-AML-5,Medicines,Amlodipine 5mg - standard quality medical stock item,326.0,units,224,32.0,7,3,64,2027-02-24,Shelf A-7,3,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
8,Azithromycin 250mg,MED-AZI-250,Medicines,Azithromycin 250mg - standard quality medical stock item,184.0,units,105,15.0,7,3,45,2027-11-10,Shelf A-8,10,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
9,Gabapentin 300mg,MED-GAB-300,Medicines,Gabapentin 300mg - standard quality medical stock item,245.0,units,100,20.0,7,3,40,2027-01-26,Shelf A-9,4,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
10,Losartan 50mg,MED-LOS-50,Medicines,Losartan 50mg - standard quality medical stock item,240.0,units,150,30.0,7,3,120,2027-10-16,Shelf A-10,14,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
11,Pantoprazole 40mg,MED-PAN-40,Medicines,Pantoprazole 40mg - standard quality medical stock item,251.0,units,198,22.0,7,3,88,2028-01-13,Shelf A-11,5,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
12,Cetirizine 10mg,MED-CET-10,Medicines,Cetirizine 10mg - standard quality medical stock item,293.0,units,126,18.0,7,3,54,2027-07-13,Shelf A-12,12,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
